summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
FNhBAAFN1lwq8rBew4XbONKDCSg-YrtoWUUj5oQAgg7b0mdDIQwxiO78rg,,1287,I,227,153,True,False,False,False
lk36_EWc59dppApk4X-FrrFtEDIhV9dB8SDCMIUXWvvGru9q,Spear Shot,895,I,344,304,False,False,True,True
RqZpXluDIOu8DhiggtI_8GJs9YYqVD0X_GtDaVjYNzZfczoO,Incandescence33,1013,I,269,219,False,False,False,True
xY28afeqw74f4Gwffmnk_wARI63OVIn1qK0bys2xrY2G2VEVgvKCIQ3sLQ,ADexakick,1076,I,262,204,True,False,False,False
aIs_QexMiogaRL36rImTnIhg9SGwHm7UEuryMzq9ZTDjkTI,pocovirtuoso,861,I,202,159,True,False,False,False
dCOzA2lQms16u4zy03lJe89v7OpkuDKgvtAV37-s52AIDxY,William4,885,I,137,91,False,False,True,False
bt_MUbRFSu3hO930IxuEVJ8teEZfL-gZVAjYGvdnYGR0sFihO1j2xNImXQ,rakan xayah,867,I,209,166,False,False,True,True
NjX39vK37A68-XuNPphpa7wOvosEo9fEWMkDX4798kIlWOc,Gilius1,861,I,119,76,False,False,True,True
UVmjQClxSjGdT8vnlQ7S9hF8Ag1i3GElKKNM2hy2sr-oEVw,SPKTR,1126,I,153,91,False,False,False,False
XYJg_gyEc6rnseGm6MMfQvQNxZFxPi0oC3AR21o9OFLLxgc9JCdAD7LNzg,Hovvling,1083,I,130,81,False,False,False,False
o_J8iR5OTO5SIUY0rWuoJG84rka45uR2QeMH-NvIal0uMC4,B Ζ,857,I,108,67,False,False,True,True
2aVC-xHjgwOwLU-mL4gve1eIOh8m4JHDJExsyV-P8sE13cA,Infoneral,883,I,186,136,False,False,False,False
PjlVaQlIremSbqXjKJq4oR8q-2I9vOk0xX2MdoiOfoR-4gQ,MagiFelix5,1040,I,372,325,True,False,False,False
IuXOo85U9cjKnOowDDdBnSw5tnYPG7Rblau2r7KZwjqZGUE,AbueloSeductor69,865,I,171,129,False,False,True,True
PJmKZnWrojuAaB1ZMciFYc-nLSdTh-thQU8QIerLB0mg2f2MYKrVbyfHjQ,SoldierForAsu,1005,I,119,73,False,False,True,True
b4EAptNV9x3Y1COafeRsCMccJRblvkrJC7fu0rfj5CGxrl8,Noodle Tree,1132,I,222,163,True,False,False,False
jKDB8bKTUgkVAzh8IrN8f4kWUcjFWaW3w9S0L9aELgjYOCE,Furuy,887,I,174,120,False,False,True,False
zhkv29npmPEHLTF4dfDdXgCFYX9aTudJwG61yDy9thNXttQ,SMRADOCH ZICSSI,939,I,137,95,False,False,False,False
f_lvI4cUGKtPh6XJ4S4ADTVccsiHqkhYn3g1xRsm7B9NltQ,septico1,859,I,116,76,False,False,True,True
w2UI4UB1vDW5kieTxGF-05UnxrWcGHUhHBK-Q4m_Wh61WDQ,SINMIVAK 2026,947,I,247,197,True,False,False,True
SXiB6T6W9yf0OQvcbkpUJN2DDKMbNxANP0USMmmXH9p5tKQ,Xagog,989,I,109,63,False,False,False,False
XC78Mn0WQU68Rc91VoXtvR2IH78fUSQtij1uhAHApfmXHcX1,Ben Berko,883,I,139,92,False,False,True,True
RRMkxCIY8ZRu5uRWWwtrdNjQ1C1XAsWo0cPlnTCx8e77l5Wil3O1dVZAig,,947,I,166,105,False,False,True,False
3nbwACQYiCNAHuHMgw9pyEsQATvwRwqVRgy6rvNo8PWzC7A,getogetogeto,759,I,176,138,False,False,True,False
6cZw-TV2L26p33sCtGebyqjXHqsXE6JU5tHYXgQu2lKfek0,TTV KERBEROS LOL,935,I,210,166,False,False,False,False
