allInPings,assistMePings,assists,baronKills,basicPings,bountyLevel,12AssistStreakCount,abilityUses,acesBefore15Minutes,alliedJungleMonsterKills,baronTakedowns,blastConeOppositeOpponentCount,bountyGold,buffsStolen,completeSupportQuestInTime,controlWardsPlaced,damagePerMinute,damageTakenOnTeamPercentage,dancedWithRiftHerald,deathsByEnemyChamps,dodgeSkillShotsSmallWindow,doubleAces,dragonTakedowns,earlyLaningPhaseGoldExpAdvantage,effectiveHealAndShielding,elderDragonKillsWithOpposingSoul,elderDragonMultikills,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,epicMonsterStolenWithoutSmite,firstTurretKilled,firstTurretKilledTime,flawlessAces,fullTeamTakedown,gameLength,getTakedownsInAllLanesEarlyJungleAsLaner,goldPerMinute,hadOpenNexus,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,kTurretsDestroyedBeforePlatesFall,kda,killAfterHiddenWithAlly,killParticipation,killedChampTookFullTeamDamageSurvived,killingSprees,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsOnRecentlyHealedByAramPack,killsUnderOwnTurret,killsWithHelpFromEpicMonster,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laneMinionsFirst10Minutes,laningPhaseGoldExpAdvantage,legendaryCount,legendaryItemUsed,lostAnInhibitor,maxCsAdvantageOnLaneOpponent,maxKillDeficit,maxLevelLeadLaneOpponent,mejaisFullStackInTime,moreEnemyJungleThanOpponent,multiKillOneSpell,multiTurretRiftHeraldCount,multikills,multikillsAfterAggressiveFlash,outerTurretExecutesBefore10Minutes,outnumberedKills,outnumberedNexusKill,perfectDragonSoulsTaken,perfectGame,pickKillWithAlly,playedChampSelectPosition,poroExplosions,quickCleanse,quickFirstTurret,quickSoloKills,riftHeraldTakedowns,saveAllyFromDeath,scuttleCrabKills,skillshotsDodged,skillshotsHit,snowballsHit,soloBaronKills,soloKills,soloTurretsLategame,stealthWardsPlaced,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedownOnFirstTurret,takedowns,takedownsAfterGainingLevelAdvantage,takedownsBeforeJungleMinionSpawn,takedownsFirstXMinutes,takedownsInAlcove,takedownsInEnemyFountain,teamBaronKills,teamDamagePercentage,teamElderDragonKills,teamRiftHeraldKills,tookLargeDamageSurvived,turretPlatesTaken,turretTakedowns,turretsTakenWithRiftHerald,twentyMinionsIn3SecondsCount,twoWardsOneSweeperCount,unseenRecalls,visionScoreAdvantageLaneOpponent,visionScorePerMinute,wardTakedowns,wardTakedownsBefore20M,wardsGuarded,champExperience,champLevel,championId,championName,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,pushPings,quadraKills,sightWardsBoughtInGame,role,spell1Casts
8,26,9,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,19040,18,67,Vayne,0,8,5,8214,31687,8214,14763,0,6,4,2,0,True,19,2,False,False,False,False,False,False,26,16670,14933,0,TOP,0,0,2,1057,3153,3139,3009,3085,3078,3363,26,3,15,TOP,450,7,2,621,9111,1055,8395,41,14,1,0,1,0,0,34,1,0,155915,30281,20864,0,0,0,SOLO,213
0,0,15,2,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,18701,18,154,Zac,0,6,1,587,59145,587,67895,0,3,1,0,3,True,0,4,False,False,False,False,False,False,4,13563,12175,0,JUNGLE,0,0,2,3065,3068,3075,3158,3041,3211,3364,16,1,5,JUNGLE,0,4,1,532,156876,14763,15762,0,177,0,0,1,0,0,0,2,0,31161,1011,29631,0,0,0,NONE,86
0,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,16810,17,517,Sylas,0,3,4,760,6071,760,30685,0,13,2,0,0,True,1,2,False,False,False,False,False,False,1,12114,11800,0,MIDDLE,0,0,2,3157,6657,3158,1058,3100,0,3364,19,0,2,MIDDLE,0,0,1,238,133771,17678,19068,0,4,0,0,0,0,0,16,3,0,12988,2501,29588,0,0,0,SOLO,77
0,1,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,19078,18,236,Lucian,0,4,3,11529,22843,11529,21358,0,6,0,4,0,True,11,0,False,True,False,False,False,False,2,18974,20280,0,BOTTOM,1,1,2,3026,3508,3036,3111,6675,3094,3363,24,4,17,BOTTOM,729,10,2,906,13469,3347,10660,0,4,0,0,0,0,0,25,4,0,217611,38609,18407,0,0,0,CARRY,98
3,1,14,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,11922,14,432,Bard,0,9,14,905,2809,905,34830,0,13,9,0,0,True,3,0,True,False,False,False,False,False,1,9801,8575,0,UTILITY,0,1,2,3111,3877,2055,2504,3110,3067,3364,31,0,1,BOTTOM,0,0,1,316,18626,8599,11845,0,0,0,0,1,0,0,6,5,0,8072,4078,19046,0,0,0,SUPPORT,58
0,7,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,17055,17,106,Volibear,0,11,7,15804,21893,15804,37127,0,12,0,0,0,True,9,3,False,False,False,False,False,False,0,14155,14193,0,TOP,2,2,1,3051,3748,3078,3181,3009,2021,3340,31,2,4,TOP,0,2,1,265,57400,6014,8685,0,12,0,1,0,0,0,7,6,0,143781,18364,30094,0,0,0,SOLO,66
0,7,13,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,16568,17,76,Nidalee,0,3,1,0,24143,0,20256,0,6,1,2,2,True,15,19,False,False,False,False,False,False,21,16109,15225,0,JUNGLE,0,0,1,3089,3020,3100,3041,4645,3165,3364,18,5,16,JUNGLE,0,5,2,603,217181,30832,11126,0,151,0,1,0,1,0,113,7,0,16023,2156,22857,0,0,0,NONE,258
0,0,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,15640,16,246,Qiyana,0,1,2,1033,1787,1033,21679,0,5,0,0,0,True,9,0,False,False,False,False,False,False,1,13597,13650,0,MIDDLE,0,0,1,6696,3142,6698,6694,3158,0,3364,30,3,10,MIDDLE,0,4,1,700,13148,2395,12950,0,0,0,1,0,0,0,5,8,0,163904,31280,17420,0,0,0,SOLO,129
0,5,16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,13795,15,145,Kaisa,0,16,6,1581,1581,1581,19936,0,9,4,0,0,True,8,9,False,False,False,False,False,False,10,12332,12230,0,BOTTOM,0,0,1,2420,3006,6692,3124,3115,0,3363,28,0,3,BOTTOM,0,0,1,459,30669,9420,6238,0,4,0,1,0,0,0,16,9,0,129932,16338,18187,1,0,0,CARRY,93
0,0,17,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,10801,13,89,Leona,0,2,11,973,1174,973,47049,0,8,9,0,0,True,4,0,False,False,False,False,False,False,6,11140,9625,0,UTILITY,0,0,1,3109,3877,3190,3066,3050,3158,3364,32,2,8,BOTTOM,0,4,1,530,21146,11977,9449,2,0,0,1,0,0,0,10,10,0,9759,6535,17605,13,0,0,SUPPORT,72
