id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel
1xuqwYxgL5Kd4Urf1ueAghpVvylKptSIneDDyPbHT9S0y_M,XWsJtr2w2QnT3ZHxcBHLBTrQXoDgJ3VuxApUUUI_YWzQMA,IKaM9MaLXyARgWGRmQSEhFUGk8FrNgPymaq414gUYvthtuRK1Kcg3Dft_v7lVx9Om9_VkelQfzDMdA,TH Jerkz,5637,1711469728144,812
6qpaSok_vgbM9IaDBwABCmz-gW30yg6jmMz87IIyDvdM_cQ,h2OG3szV_mYYtRZcul7QxTRfmWbM2jn-s15HHlYBoTQypUE,cd_2O9KVQuSV10wZb6xnQ1EvO_DWPyFly-tQLEBvr1m86LWGYb8cGSHTl3Azs1FC904TAX8ZOoXw-g,ZWYROO,6297,1711467660449,978
lXROGH7oDtXabaauA-GW6pq9kVAuxxSnw3XmGkFPgbSAMlhI,vAuPQdIYt-Oza39eDd4gT9oDrdEYHBUygfw2IdoQWJz25bA,gb258DbUNAUt9wpLuTMIRGrVVKr1X5nrFtDr4_auaT0-t3gu9Pce0ylWa1ZmbuFLHx7874PrFEqdeQ,G2ThreeEyedSwain,4658,1711485458279,478
hWRFXxblYaMwkEbF77Bdi_S-VD-FAtV5pppWQ0F5ZJ29ZPMcnJt6SKf4ZQ,hX0avT-Y9_-Jpi8iIpGVRlShX38gY58XwQMQGiO9P8Qm8KUj5R7IH0pe,d7-2sic5pj-lewWS-CpdNvKbb2RkFKlgIxoUmZ_laZ4ASAUEsI3Zd8ZJojR3gPCAryf0p6EdOvfhIg,Roi des Tacos 93,7,1711485356152,85
SGwsbqZwIVZTn9G6Ve31e6gaXbWTT1pjMXNXQx2uLZdO7VWl,0C90UsxmuMtp2e4zux7OaC-UyOlVObRo5hwK42fsgpqkKfue6WWN4HvV,Uq0Qj8yr-IRl09DUKSecclW55DlEQzUSYCHomEIfqpXO2c6RM5sLXznJmIgzVIH0E5B0465svbA5LQ,Spoodersussi,3,1711477554573,575
gef9pOSFLJ2laccn-zAn9X0spy-qd5cqbQY428w9PD-vOVzfHedt0GYkJA,YzfHUVHxcoRB9UrDgiH4o5aOvYfmg6q8ZNFTMJwzO_nH0ywrS4jhv70n,SYOQYg6y2tORF0VA3S1-Nxvu96ifOJXk7ajffYIsHwUI8IuU2nSiOaJPuVCQlutfBfAQyZ1l3wXHdA,TWITTER OPAT04XD,4895,1711129172000,371
kLKV2fRsdifVj6qoVIx_KoRFHWUf-92aQPKn74ZQRYNzmeA,g7eAI4Jfwzfn_RBsEBf8-0wYI1TxrycvwL8K8MdkRLzAyBk,whdauYKvtnlqHG1-GKWG33xBwI7QDITBftNIrSjigyaS7J7c5d1QdpAp1nwoDy2D31e-_UYHPcXOZQ,Rayito,6541,1711464210836,741
wnXw5kjE-MzUk706uS6Taklz2bc8Gf0ObIbOFEfbzatiDeI,hhuh1b4cWK8K3AT9a6zIZuYd8ruwgqyGdIccxhxWs4k8UK0,TonVkENSWREOE3Fa83fs5814s8vLzshWRX1wSFJvvD-X4hl6Ay9kodKKq7TOKthZNmrpeItVA7fNYg,Bitten BuIIet,4922,1711391853000,691
mc5j-86WXHBoMqRYXM5JbeVQLUKnTKuqOpiiHaYRWl_mbAQJ,bLnbNl6Wz8Lyt34CIggRsNFLkO0xAR-fqgO1zFNejLbh2X0,ncARX3IfjjxJEr-2-WIXeMOeyyhAYV-jjWVXikfbMSdx_cGU5TEkio7zyEzve3kShXdA0pqejrhHdg,rinwiya,3150,1711487683981,511
F66evpXKo_lYiov1qDoHKtCacc083E8FXKikUeXR-qsVVD0--qzGJMRzHQ,4zD2vAbcgD3zBlcm2iK29_HKotnDhmkXrV3XVlkYiW8vawBlCrwAc4dH,2_VmE4azSHcnWqHi99WKS7eE4Qm8mSi66-1H_WuBuF-OQU4I9T7fzT_Tc10e16pkrj50hQBffIUYJw,Lesnoy rab,11,1710963738000,279
DE2nS21NsxWlqVoNugN5Zd9v971wtsTVqNewSVW-8dqZaS0,pr5sYAJAKPjpWpQ2DCI-mAZA6C1ewdTZmqB-ayqc9MirMw,5CCRn5B9G2ZmznYJlmd9lqtdxripfwAfrjQMPuNZXg9NLcOY-uQZRU4geLxyrrbulXN9znp-4IdCPw,lec reject1,654,1711482903402,797
vmz4fmub4Eea63vXB0bXPdWNRrqPNynwdS74ENWGvBw8bxQ,QSTgnYm8byFLNs7_GZaCYPmlsXHMIeyo7Fb51rfni5SAew,VzhWlKepzCmR1qhSRZBBKts1eoxql0qQbxegQ0REMN1nexRbPbbkia8cM_X4oyC0Skb2gLYWTrk_ug,KOLDO 2026 ,4071,1711477011091,718
bqo_q9C3vVthui6JEQts2RYphFMlz_uidT34tEqkzsnwSBHh2LSfEt7O2g,05CXjjNb_Uan3PycPjYzH0bO8A-oGXky6MDYv7mB6oZhkbobsYqArWVS,UIvqHBmYGIoo4p6EvSA2mbZUey5LznA0bT88T9NZU1ikRBkqvz_Wb-QvQ8qWp3PJskAOjzeZyw4yug,excommunicadø,3159,1711487683981,642
7QvUFfS1HtoyeUUMbyklupkqdvdHp9PmMPRYaeFZgq2P6Jg,abjGkmR3GtPm71PLjhR4Zo-J01GhdeGO15eNAyJfTBX9Lg,Da0zXdS2O5xHDkAyd2vw55TnnWazO_UYbEZyDpNGw_SQxkA9B5u2FZgPperLjw8LqR3WdK4OWOFB0w,the voıces,27,1711328980000,972
fPKhOEPw9_wjQm3_q1EBPNNLbxitvbiN3kEW5PTcquCTLVdS,ZTxOkJgx5aMTnXMOsyhkBofg8ajIDXLObywIiMA6U_sapQeHBmLkRW_N,nwde5TS2R_JdVG_8CrtzSIsNqe_L49ce34-6vMHZMgWKQhBvc_TNld2xjTDIHyUxwEp8BlVfztN7_w,15 02 2013,5227,1711470923351,639
r4w64s_B3qWRv2pEVkfkrIt549eWoM3Jo9hZd2aUupYaUDeNtaTlSfNsVQ,NOeKZwPgi1JF8nug1EiTUinFVsdSFmA41Rv5K0Bh-dVO2TKDcO6AFEJm,JL8ACwnt4FzM5709CtUsOR9tsWnc5yOS31JZNm49TDwyWQYecWwiRDDRnGon_1I_UJ9AJnwGTXbFYA,is it just me,23,1711205066000,163
ybU4STzpTVF1mIahds73S-GuuxnLh8izkoZcSQ0KrNOh8N4,GJ7SMsHbtcI6DfIppvBwDQ-P_-lAZrErfEsInBaPyrCYC1Y,i8NhqmhK_2QRD0LmCIbsRg7T3G2_i990O-S-iHv_RwvuAOs-ghk5aCPF1EMekzkz49_UCskziXdGCg,Kaori3,7,1711472053167,866
2aVC-xHjgwOwLU-mL4gve1eIOh8m4JHDJExsyV-P8sE13cA,piN2r13TSbbV6-3PApMqJoHqgOkz205VA_zEgbWrZFwBgmA,na7koao676cNpx1e8fGx8cRWJo2VmQjcQO5sIGBLW59_vyIkWoAWn2ULYnCww1hdYckyguFVTqYkUg,Infoneral,5249,1711487081376,706
2DlafCzuWbZ1q8cGwH_hwEmumTOvQKE21MyKAEKDf912SnQ,i-YnBb_zpaA7xb5u0D5s7WInvVQtmXJrWX8iWA4bA1lurrY,jdQKEtrlGnLJCmXLVMVwqkRtz36f95Ntu6tsWYdY8nG4IGJ3rHVQGMUmWo2a3VHx-aJvP3ejJsTjVA,Inferior AD,5956,1711403634585,659
